,area,Venue Id,Venue Name,Venue Latitude,Venue Longitude,Venue Category
207,11,56343465498e0e6662abacc3,Fei Kitchen,37.718004,-122.474208,Chinese
340,15,4b636f17f964a52083792ae3,Irving Subs,37.76396452784231,-122.469471193101,Sandwiches
761,31,5127a9e2183f56cf2d7bfe9a,Chubby Noodle,37.79965299789622,-122.4379566859738,Noodles
929,38,583638538d8e9962925c86fe,Hinodeya Ramen Bar,37.78622257150403,-122.42995622632341,Ramen
292,14,4a56c167f964a520c1b51fe3,Noriega Teriyaki House,37.75393143463521,-122.48270230362257,Japanese
530,23,4b105794f964a520426e23e3,Noah's Bagels,37.78637500364688,-122.45188325643541,Bagels
54,3,4a90b5b7f964a520361920e3,Thanh Long,37.760304884554344,-122.50605407918795,Vietnamese
389,17,4d252711903c8cfa19f1cb25,Mama Rosa's Pizza,37.714228000000006,-122.46283000000001,Italian
60,3,4af4f086f964a52093f721e3,Thai Cottage,37.76034422492588,-122.50556649426008,Thai
602,25,5c143ccd031320002c620637,Ty Pho Vietnamese Restaurant,37.720754,-122.437596,Restaurant
572,24,4b92d069f964a520421e34e3,Geneva Bakery,37.7158816699567,-122.43975796638607,Bakery
149,8,4b9ae7bdf964a52094e135e3,SUBWAY,37.753759100058545,-122.49079875541634,Sandwiches
112,7,51e2ffc9498eb7f2c84a1f04,Kingdom of Dumpling,37.7425344163804,-122.48822976957376,Dumplings
1158,46,52e20b3311d241e331b41f31,Kin Khao,37.785174142724365,-122.40906544080832,Thai
1280,50,4f327aa219836c91c7dbcbe9,Anna Miller's,37.740072999999995,-122.40229099999999,Food
1173,47,43f08afdf964a520752f1fe3,In-N-Out Burger,37.80776656115693,-122.41843342781068,Burgers
1047,42,49fc89c3f964a520b36e1fe3,El Huarache Loco,37.735966005612184,-122.40967686409942,Mexican
1032,42,4bc881f86501c9b61f364029,Bernal Star,37.73914246989067,-122.41738195310013,Burgers
232,12,4aecaa99f964a52019ca21e3,Boudin Bakery Café Stonestown,37.728669000000004,-122.47688600000001,Bakery
880,36,4bc38e68abf49521beedc393,Super Duper Burgers,37.76402414195907,-122.43370324373244,Burgers
144,8,4bd38485a8b3a593483a6a5f,Tak Kee Lee,37.753568899541406,-122.48998286093244,Chinese
27,2,56d74386cd10dff01acdb949,Yonkers Cafe,37.752888303530796,-122.5046855260239,Café
1340,53,4422a503f964a52094311fe3,Caffe Centro,37.781637940865906,-122.39407688320013,Café
228,12,5b942774deb4950025220c76,85C Bakery Cafe - Stonestown,37.72791847111096,-122.47628171618449,Bakery
59,3,4f7a311fe4b041c95d550ca8,Mediterranean Cafe,37.760606194005405,-122.50343600303349,Mediterranean
521,22,457c2ffff964a520003f1fe3,Muguboka Korean BBQ,37.77717530143518,-122.4630646397127,Korean
1166,46,4afa146af964a5208c1622e3,Panda Express,37.78400418036148,-122.4074490269985,Chinese
405,18,4b146135f964a52032a223e3,KFC / Taco Bell,37.72648110412981,-122.46499986375069,Fast Food
1151,46,435ad280f964a52006291fe3,Mel's Drive-In,37.784418446864635,-122.40456640720369,Diner
1469,59,5129a27fe4b0fc7153fdd26a,Leadbetter's Bake Shop,37.757315999999996,-122.387732,Bakery
1430,57,4f3274f119836c91c7d9a5c2,Golden Phoenix Bakery,37.727299,-122.380997,Bakery
1367,54,5b452be1772fbc002c0a3ecb,Oren's Hummus,37.78666890844264,-122.40251166215769,Mediterranean
1336,53,5a85d1774420d8211f25fe70,Cafe Lambretta,37.78048482730278,-122.39043773417386,Café
1442,58,4c005af58c1076b00b072071,Tacos Rodriguez,37.740172395788576,-122.38249141544108,Food Truck
883,36,505aa37ee4b09d25dc9e7557,Mau,37.762214446694,-122.42157861358172,Vietnamese
805,34,49cde3dcf964a520175a1fe3,Regent Thai,37.743636818244546,-122.42680892050282,Thai
1424,57,4f32a47319836c91c7eba41e,Tan Hung Bakery,37.726299,-122.379997,Bakery
158,8,4f3256cf19836c91c7cdff13,Johnson Shiu,37.753624,-122.49051899999999,Steakhouse
184,10,49eb6c30f964a520d7661fe3,Hard Knox Cafe,37.781995669691895,-122.48582180026017,Southern / Soul
710,30,55765667498e2a6bb9f00cb9,b. on the go,37.78813880121172,-122.4403802693906,Sandwiches
988,40,4f32885219836c91c7e109b6,Happy Family Fast Food,37.711997,-122.40581100000001,Food
666,28,5849c58a6ad73d598e7f4174,Slice House by Tony Gemignani,37.76983155777929,-122.44756993644077,Pizza
279,13,4b04b453f964a520385622e3,Just Won Ton,37.738953,-122.480425,Chinese
139,8,5bc3e03a38f2160025e5beb9,Hang Out Spot,37.753487,-122.49008,Chinese
111,7,4b01d145f964a520b04522e3,Ono Hawaiian BBQ,37.733825393675744,-122.48944070064378,Hawaiian
